Name:counter
letter,exact_counts,fixed_counts,fixed_prob_small,fixed_prob_av,fixed_prob_larg,fixed_max_dev,fixed_mad,fixed_stdd_dev,csuros_counts,cs_small,cs_av,cs_larg,cs_max_dv,cs_mad,cs_stdd_dev 
E,32801,4099441,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,492015,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
F,3055,382866,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,45825,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
G,3598,450330,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,53970,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
H,2586,323115,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,38790,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
I,13053,1629742,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,195795,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
J,1023,127890,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,15345,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
L,6100,763010,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,91500,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
M,10921,1366230,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,163815,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
N,13455,1683559,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,201825,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
O,28082,3510961,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,421230,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
P,5558,694033,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,83370,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
Q,4114,514213,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,61710,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
R,16842,2106801,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,252630,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
S,20654,2583094,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,309810,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
T,11937,1494124,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,179055,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
U,10800,1351261,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,162000,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
V,4255,531849,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,63825,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
X,368,46350,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,5520,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
Y,8,1010,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,120,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
Z,919,114968,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,13785,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
Name: portuguese
10000
A,34308,42884228,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,514620,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
B,2393,2989675,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,35895,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
C,7937,9923616,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,119055,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
D,12314,15398156,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,184710,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
E,32801,41010483,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,492015,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
F,3055,3815127,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,45825,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
G,3598,4497306,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,53970,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
H,2586,3233541,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,38790,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
I,13053,16316196,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,195795,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
J,1023,1278015,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,15345,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
L,6100,7627950,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,91500,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
M,10921,13650780,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,163815,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
N,13455,16815289,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,201825,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
O,28082,35096644,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,421230,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
P,5558,6945686,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,83370,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
Q,4114,5144544,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,61710,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
R,16842,21051533,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,252630,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
S,20654,25817348,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,309810,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
T,11937,14919064,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,179055,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
U,10800,13496978,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,162000,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
V,4255,5313764,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,63825,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
X,368,460897,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,5520,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
Y,8,9798,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,120,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
Z,919,1147266,Y:9798,12868495.167,A:42884228,30015732.833,9575271.014,12217046.52,13785,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
